"","entity_name","iso3c","year","p10","p90","population","continent"
"94","Ireland","IRL",2017,23.26,90.15,4771860,NA
"95","Ireland","IRL",2018,24.76,91.1,4834506,NA
"96","Israel","ISR",2017,10.3,75.2,8309256,NA
"97","Israel","ISR",2018,10.78,76.5,8456487,NA
"98","Italy","ITA",2017,15.82,85.15,60004024,NA
"99","Italy","ITA",2018,15.98,85.45,59877432,NA
"100","Kazakhstan","KAZ",2017,5.91,19.22,18314822,NA
"101","Kazakhstan","KAZ",2018,6.34,20.56,18538100,NA
"102","Kosovo","OWID_KOS",2017,4.6,15.48,1731670,NA
"103","Kyrgyzstan","KGZ",2017,3.22,10.04,6121266,NA
"104","Kyrgyzstan","KGZ",2018,3.44,10.82,6223503,NA
"105","Laos","LAO",2018,2.36,11.7,7105008,NA
"106","Latin America and the Caribbean",NA,2017,3.47,36.7,NA,NA
"107","Latin America and the Caribbean",NA,2018,3.51,36.9,NA,NA
"108","Latvia","LVA",2017,10.3,51.9,1954861,NA
"109","Latvia","LVA",2018,11.92,57.35,1935632,NA
"110","Lesotho","LSO",2017,1.14,9.39,2170622,NA
"111","Lithuania","LTU",2017,10.92,58.4,2904452,NA
"112","Lithuania","LTU",2018,12.06,63,2876128,NA
"113","Luxembourg","LUX",2017,29.02,142.3,596290,NA
"114","Luxembourg","LUX",2018,29.26,149.5,607920,NA
"115","Mali","MLI",2018,1.94,9.26,19934304,NA
"116","Malta","MLT",2017,21.96,81.1,479507,NA
"117","Malta","MLT",2018,22.26,82.55,491590,NA
"118","Mauritius","MUS",2017,6.2,28.84,1294743,NA
"119","Mexico","MEX",2018,3.76,28.02,124013864,NA
"120","Middle East and North Africa",NA,2017,2.84,21.24,NA,NA
"121","Middle East and North Africa",NA,2018,2.58,21.16,NA,NA
"122","Moldova","MDA",2017,5.9,18.56,3180515,NA
"123","Moldova","MDA",2018,6.28,18.92,3141839,NA
"124","Mongolia","MNG",2018,4.07,17.24,3163994,NA
"125","Montenegro","MNE",2017,4.86,32.65,632445,NA
"126","Montenegro","MNE",2018,4.74,31.9,631459,NA
"127","Myanmar","MMR",2017,3,10.88,52288344,NA
"128","Netherlands","NLD",2017,28.46,96.25,17207204,NA
"129","Netherlands","NLD",2018,28.64,96.7,17286042,NA
"130","Niger","NER",2018,1.12,5.04,22577060,NA
"131","Nigeria","NGA",2018,1.34,6.64,198387616,NA
"132","North Macedonia","MKD",2017,3.88,23.62,2111982,NA
"133","North Macedonia","MKD",2018,4.36,24.22,2113497,NA
"134","Norway","NOR",2017,34.5,114.9,5277396,NA
"135","Norway","NOR",2018,34.55,115.4,5312321,NA
"136","Pakistan","PAK",2018,2.46,8.07,219731488,NA
"137","Panama","PAN",2017,5.34,62.35,4096071,NA
"138","Panama","PAN",2018,5.91,65.85,4165258,NA
"139","Paraguay","PRY",2017,4.65,34.85,6355406,NA
"140","Paraguay","PRY",2018,4.79,36.2,6443337,NA
"141","Peru","PER",2017,3.26,25.7,31605488,NA
"142","Peru","PER",2018,3.53,26.6,32203946,NA
"143","Philippines","PHL",2018,2.56,13.04,108568832,NA
"144","Poland","POL",2017,9,33.85,38532816,NA
"145","Poland","POL",2018,8.66,33.35,38521464,NA
"146","Portugal","PRT",2017,12.28,54.45,10307528,NA
"147","Portugal","PRT",2018,12.88,57.05,10289833,NA
"148","Romania","ROU",2017,4.78,32.3,19698852,NA
"149","Romania","ROU",2018,6.28,23.9,19606778,NA
"150","Russia","RUS",2017,8.23,41.65,145452544,NA
"151","Russia","RUS",2018,8.43,41.3,145652288,NA
"152","Sao Tome and Principe","STP",2017,1.85,9.96,208050,NA
"153","Senegal","SEN",2018,2.19,10.96,15574910,NA
"154","Serbia","SRB",2017,3.84,24.84,7464882,NA
"155","Serbia","SRB",2018,7.2,28.18,7433825,NA
"156","Seychelles","SYC",2018,8.29,38.55,103120,NA
"157","Sierra Leone","SLE",2018,1.59,6.87,7861287,NA
"158","Slovakia","SVK",2017,12.2,36.7,5439418,NA
"159","Slovakia","SVK",2018,12.24,39.2,5446746,NA
"160","Slovenia","SVN",2017,20.72,62.2,2098396,NA
"161","Slovenia","SVN",2018,22.68,65.8,2105931,NA
"162","Somalia","SOM",2017,0.66,3.63,14864224,NA
"163","South Asia",NA,2017,2.03,8.37,NA,NA
"164","South Asia",NA,2018,2.15,9,NA,NA
"165","Spain","ESP",2017,15.14,80.5,46584168,NA
"166","Spain","ESP",2018,15.08,80.7,46792044,NA
"167","Sub-Saharan Africa",NA,2017,1.06,7.84,NA,NA
"168","Sub-Saharan Africa",NA,2018,1.08,7.96,NA,NA
"169","Sweden","SWE",2017,24.34,91.25,10058191,NA
"170","Sweden","SWE",2018,23.6,92.9,10162300,NA
"171","Switzerland","CHE",2017,32,136.3,8451688,NA
"172","Switzerland","CHE",2018,31.05,131.3,8514431,NA
"173","Tanzania","TZA",2018,1.17,5.99,58090444,NA
"174","Thailand","THA",2017,6.09,29.88,70898208,NA
"175","Thailand","THA",2018,5.93,29.88,71127808,NA
"176","Togo","TGO",2018,1.36,8.86,8046680,NA
"177","Turkey","TUR",2017,6.58,42.5,82089824,NA
"178","Turkey","TUR",2018,6.6,43.85,82809304,NA
"179","Ukraine","UKR",2017,6.69,20.74,44657260,NA
"180","Ukraine","UKR",2018,7,21.72,44446952,NA
"181","United Kingdom","GBR",2017,20.04,96.8,66064808,NA
"182","United States","USA",2017,21.42,147.2,329791232,NA
"183","United States","USA",2018,22.72,153.3,332140032,NA
"184","Uruguay","URY",2017,9.07,56.8,3422205,NA
"185","Uruguay","URY",2018,8.85,56.2,3427044,NA
"186","Vietnam","VNM",2018,4.72,24.3,94914328,NA
"187","World","OWID_WRL",2017,2.19,43.55,7599822336,NA
"188","World","OWID_WRL",2018,2.27,44.45,7683789824,NA
"189","Zimbabwe","ZWE",2017,1.34,8.81,14751101,NA
"190","Afghanistan","AFG",2017,NA,NA,35643420,NA
"191","Afghanistan","AFG",2018,NA,NA,36686788,NA
"192","Africa",NA,2017,NA,NA,1263333997,NA
"193","Africa",NA,2018,NA,NA,1295265310,NA
"194","Africa (UN)",NA,2017,NA,NA,1263333760,NA
"195","Africa (UN)",NA,2018,NA,NA,1295265024,NA
"196","Algeria","DZA",2017,NA,NA,41136548,NA
"197","Algeria","DZA",2018,NA,NA,41927008,NA
"198","American Samoa","ASM",2017,NA,NA,49486,NA
"199","American Samoa","ASM",2018,NA,NA,48445,NA
"200","Andorra","AND",2017,NA,NA,73853,NA
"201","Andorra","AND",2018,NA,NA,75034,NA
"202","Angola","AGO",2017,NA,NA,30208634,NA
"203","Anguilla","AIA",2017,NA,NA,15040,NA
"204","Anguilla","AIA",2018,NA,NA,15201,NA
"205","Antigua and Barbuda","ATG",2017,NA,NA,91133,NA
"206","Antigua and Barbuda","ATG",2018,NA,NA,91644,NA
"207","Argentina","ARG",2017,NA,NA,44054616,NA
"208","Argentina","ARG",2018,NA,NA,44413592,NA
"209","Aruba","ABW",2017,NA,NA,105454,NA
"210","Aruba","ABW",2018,NA,NA,105980,NA
"211","Asia",NA,2017,NA,NA,4547095064,NA
"212","Asia",NA,2018,NA,NA,4588802751,NA
"213","Asia (UN)",NA,2017,NA,NA,4548303360,NA
"214","Asia (UN)",NA,2018,NA,NA,4590021632,NA
"215","Australia","AUS",2017,NA,NA,24590336,NA
"216","Azerbaijan","AZE",2017,NA,NA,10071569,NA
"217","Azerbaijan","AZE",2018,NA,NA,10152524,NA
"218","Bahamas","BHS",2017,NA,NA,399027,NA
"219","Bahamas","BHS",2018,NA,NA,401911,NA
"220","Bahrain","BHR",2017,NA,NA,1456844,NA
"221","Bahrain","BHR",2018,NA,NA,1487346,NA
"222","Bangladesh","BGD",2017,NA,NA,161793968,NA
"223","Bangladesh","BGD",2018,NA,NA,163683952,NA
"224","Barbados","BRB",2017,NA,NA,279199,NA
"225","Barbados","BRB",2018,NA,NA,279702,NA
"226","Belize","BLZ",2017,NA,NA,374702,NA
"227","Belize","BLZ",2018,NA,NA,382076,NA
"228","Benin","BEN",2017,NA,NA,11596786,NA
"229","Bermuda","BMU",2017,NA,NA,63295,NA
"230","Bermuda","BMU",2018,NA,NA,63591,NA
"231","Bhutan","BTN",2018,NA,NA,762104,NA
"232","Bonaire Sint Eustatius and Saba","BES",2017,NA,NA,24392,NA
"233","Bonaire Sint Eustatius and Saba","BES",2018,NA,NA,24995,NA
"234","Bosnia and Herzegovina","BIH",2017,NA,NA,3440025,NA
