"","entity_name","iso3c","year","p10","p90","population","continent"
"470","Sint Maarten (Dutch part)","SXM",2018,NA,NA,42268,NA
"471","Solomon Islands","SLB",2017,NA,NA,643641,NA
"472","Solomon Islands","SLB",2018,NA,NA,659259,NA
"473","Somalia","SOM",2018,NA,NA,15411101,NA
"474","South Africa","ZAF",2017,NA,NA,56641208,NA
"475","South Africa","ZAF",2018,NA,NA,57339632,NA
"476","South America",NA,2017,NA,NA,420982650,NA
"477","South America",NA,2018,NA,NA,424740741,NA
"478","South Korea","KOR",2017,NA,NA,51511640,NA
"479","South Korea","KOR",2018,NA,NA,51676900,NA
"480","South Sudan","SSD",2017,NA,NA,10658230,NA
"481","South Sudan","SSD",2018,NA,NA,10395332,NA
"482","Sri Lanka","LKA",2017,NA,NA,21506816,NA
"483","Sri Lanka","LKA",2018,NA,NA,21580712,NA
"484","Sudan","SDN",2017,NA,NA,40679820,NA
"485","Sudan","SDN",2018,NA,NA,41999064,NA
"486","Suriname","SUR",2017,NA,NA,587566,NA
"487","Suriname","SUR",2018,NA,NA,593729,NA
"488","Svalbard and Jan Mayen","SJM",2017,NA,NA,2400,NA
"489","Syria","SYR",2017,NA,NA,18983370,NA
"490","Syria","SYR",2018,NA,NA,19333464,NA
"491","Taiwan","TWN",2017,NA,NA,23665028,NA
"492","Taiwan","TWN",2018,NA,NA,23726186,NA
"493","Tajikistan","TJK",2017,NA,NA,8925529,NA
"494","Tajikistan","TJK",2018,NA,NA,9128131,NA
"495","Tanzania","TZA",2017,NA,NA,56267040,NA
"496","Timor","TLS",2017,NA,NA,1243238,NA
"497","Timor","TLS",2018,NA,NA,1261850,NA
"498","Togo","TGO",2017,NA,NA,7852799,NA
"499","Tokelau","TKL",2017,NA,NA,1512,NA
"500","Tokelau","TKL",2018,NA,NA,1645,NA
"501","Tonga","TON",2017,NA,NA,105430,NA
"502","Tonga","TON",2018,NA,NA,105167,NA
"503","Trinidad and Tobago","TTO",2017,NA,NA,1478616,NA
"504","Trinidad and Tobago","TTO",2018,NA,NA,1504707,NA
"505","Tunisia","TUN",2017,NA,NA,11811441,NA
"506","Tunisia","TUN",2018,NA,NA,11933040,NA
"507","Turkmenistan","TKM",2017,NA,NA,5968388,NA
"508","Turkmenistan","TKM",2018,NA,NA,6065072,NA
"509","Turks and Caicos Islands","TCA",2017,NA,NA,39865,NA
"510","Turks and Caicos Islands","TCA",2018,NA,NA,41516,NA
"511","Tuvalu","TUV",2017,NA,NA,10850,NA
"512","Tuvalu","TUV",2018,NA,NA,10883,NA
"513","Uganda","UGA",2017,NA,NA,40127096,NA
"514","Uganda","UGA",2018,NA,NA,41515400,NA
"515","United Arab Emirates","ARE",2017,NA,NA,9068297,NA
"516","United Arab Emirates","ARE",2018,NA,NA,9140172,NA
"517","United Kingdom","GBR",2018,NA,NA,66432996,NA
"518","United States Virgin Islands","VIR",2017,NA,NA,101860,NA
"519","United States Virgin Islands","VIR",2018,NA,NA,101377,NA
"520","Upper-middle-income countries",NA,2017,NA,NA,2500616723,NA
"521","Upper-middle-income countries",NA,2018,NA,NA,2516785800,NA
"522","Uzbekistan","UZB",2017,NA,NA,31945680,NA
"523","Uzbekistan","UZB",2018,NA,NA,32449578,NA
"524","Vanuatu","VUT",2017,NA,NA,290250,NA
"525","Vanuatu","VUT",2018,NA,NA,297307,NA
"526","Venezuela","VEN",2017,NA,NA,30563430,NA
"527","Venezuela","VEN",2018,NA,NA,29825652,NA
"528","Vietnam","VNM",2017,NA,NA,94033048,NA
"529","Wallis and Futuna","WLF",2017,NA,NA,11961,NA
"530","Wallis and Futuna","WLF",2018,NA,NA,11840,NA
"531","Western Sahara","ESH",2017,NA,NA,518867,NA
"532","Western Sahara","ESH",2018,NA,NA,532011,NA
"533","Yemen","YEM",2017,NA,NA,30034386,NA
"534","Yemen","YEM",2018,NA,NA,30790514,NA
"535","Zambia","ZMB",2017,NA,NA,17298056,NA
"536","Zambia","ZMB",2018,NA,NA,17835898,NA
"537","Zimbabwe","ZWE",2018,NA,NA,15052191,NA
